# Stellar mass histogram output file. It gives the generated number of stars in different mass range.
# The columns are:
# mass_range_center mass_range mass_range_upper_limit mass_range_lower_limit star_number_in_the_mass_range

127.36445659951372 45.271086800972554 150 104.72891319902745 0
88.92494079901181 31.607944800031277 104.72891319902745 73.12096839899617 0
62.08674937445575 22.068438049080846 73.12096839899617 51.05253034991532 0
43.34851857364765 15.408023552535347 51.05253034991532 35.644506797379975 0
30.265621593373158 10.757770408013634 35.644506797379975 24.88673638936634 0
21.13123771177992 7.51099735517284 24.88673638936634 17.3757390341935 0
14.753677067366763 5.244123933653475 17.3757390341935 12.131615100540026 0
10.30091043303157 3.661409335016913 12.131615100540026 8.470205765523113 0
7.19202103074613 2.5563694695539674 8.470205765523113 5.913836295969146 0
5.021416975030609 1.7848386418770747 5.913836295969146 4.128997654092071 0
3.505916950094024 1.246161407996095 4.128997654092071 2.882836246095976 1
2.4478058129959734 0.8700608662000056 2.882836246095976 2.0127753798959707 4
1.7090402834488674 0.6074701928942068 2.0127753798959707 1.4053051870017639 11
1.1932395433263845 0.4241312873507589 1.4053051870017639 0.981173899651005 15
0.833111203724507 0.2961253918529959 0.981173899651005 0.6850485077980091 18
0.5816722062666744 0.2067526030626693 0.6850485077980091 0.4782959047353398 23
0.40611932000259554 0.14435316946548848 0.4782959047353398 0.3339427352698513 21
0.2835495667533325 0.1007863370330376 0.3339427352698513 0.2331563982368137 17
0.19797225309421063 0.07036829028520611 0.2331563982368137 0.16278810795160759 16
0.13822279273412985 0.049130630434955455 0.16278810795160759 0.11365747751665213 10
0.09682873875832607 0.03365747751665213 0.11365747751665213 0.08 4
