# Galaxy-wide IMF output file.
# The columns are:
# mass xi
# where xi=dN/dm (see Yan et.al 2017 A&A...607A.126Y)

0.08 132522585864.62769
0.0808 128325499754.75096
0.081608 124261338396.52193
0.08242408 120325891966.94873
0.0832483208 116515083971.17923
0.084080804008 112824967019.89896
0.08492161204808 109251718740.46799
0.08577082816856081 105791637817.55148
0.08662853645024642 102441140159.14691
0.08749482181474888 99196755184.03725
0.08836977003289637 96055122226.82158
0.08925346773322533 93012987056.8021
0.09014600241055759 90067198507.1203
0.09104746243466316 87214705210.65013
0.0919579370590098 84452552439.2687
0.0928775164295999 81777879043.22926
0.0938062915938959 79187914487.46577
0.09474435450983486 76679975981.76114
0.0956917980549332 74251465701.80429
0.09664871603548254 71899868098.25786
0.09761520319583737 69622747291.05133
0.09859135522779575 67417744546.19667
0.09957726878007371 65282575832.517265
0.10057304146787445 63215029455.75455
0.1015787718825532 61212963767.60681
0.10259455960137873 59274304947.321976
0.10362050519739252 57397044853.55102
0.10465671024936644 55579238944.23321
0.10570327735186011 53819004262.360664
0.1067603101253787 52114517485.53535
0.10782791322663249 50464013037.29822
0.10890619235889881 48865781258.27269
0.1099952542824878 47318166635.23126
0.11109520682531268 45819566086.24684
0.1122061588935658 44368427300.15644
0.11332822048250146 42963247128.613625
0.11446150268732648 41602570029.06698
0.11560611771419975 40284986557.05008
0.11676217889134174 39009131906.2219
0.11792980068025516 37773684494.644905
0.11910909868705771 36577364595.836876
0.12030018967392829 35418933013.178986
0.12150319157066758 34297189796.30487
0.12271822348637426 33210972998.143963
0.12394540572123801 32159157471.329662
0.1251848597784504 31140653702.725784
0.1264367083762349 30154406684.865025
0.12770107545999726 29199394823.129166
0.12897808621459722 28274628877.540462
0.1302678670767432 27379150938.066372
0.13157054574751065 26512033432.377495
0.13288625120498576 25672378165.030933
0.13421511371703562 24859315387.0829
0.13555726485420597 24072002895.167404
0.13691283750274802 23309625159.107925
0.1382819658777755 22571392477.158466
0.13966478553655326 21856540157.998135
0.1410614333919188 21164327728.63304
0.142472047725838 20494038167.384552
0.14389676820309638 19844977161.16873
