#SpecID                              |     RAdeg      DEdeg|      snru|      snrg|      snrr|      snri|      snrz|          RV|        e_RV|    Teff|      e_Teff|q_Teff| TeffCor|        logg|      e_logg|q_logg| loggCor|        Vt|        e_Vt|q_Vt|   Vtcorr|    [Fe/H]|    e_[Fe/H]|q_[Fe/H]|[Fe/H]Cor|  [a/Fe]|   e_[a/Fe]|    [C/Fe]|   e_[C/Fe]|q_[C/Fe]|[C/Fe]Cor|    [N/Fe]|   e_[N/Fe]|q_[N/Fe]|[N/Fe]Cor|    [O/Fe]|   e_[O/Fe]|q_[O/Fe]|[O/Fe]Cor|   [Na/Fe]|  e_[Na/Fe]|q_[Na/Fe]|[Na/Fe]Cor|   [Mg/Fe]|  e_[Mg/Fe]|q_[Mg/Fe]|[Mg/Fe]Cor|   [Al/Fe]|  e_[Al/Fe]|q_[Al/Fe]|[Al/Fe]Cor|   [Si/Fe]|  e_[Si/Fe]|q_[Si/Fe]|[Si/Fe]Cor|   [Ca/Fe]|  e_[Ca/Fe]|q_[Ca/Fe]|[Ca/Fe]Cor|   [Ti/Fe]|  e_[Ti/Fe]|q_[Ti/Fe]|[Ti/Fe]Cor|   [Cr/Fe]|  e_[Cr/Fe]|q_[Cr/Fe]|[Cr/Fe]Cor|   [Mn/Fe]|  e_[Mn/Fe]|q_[Mn/Fe]|[Mn/Fe]Cor|   [Co/Fe]|  e_[Co/Fe]|q_[Co/Fe]|[Co/Fe]Cor|   [Ni/Fe]|  e_[Ni/Fe]|q_[Ni/Fe]|[Ni/Fe]Cor|   [Cu/Fe]|   e_[Cu/Fe]|q_[Cu/Fe]|[Cu/Fe]Cor|   [Ba/Fe]|   e_[Ba/Fe]|q_[Ba/Fe]|[Ba/Fe]Cor|        Chi2|       Chi2R|q_Chi2|      Chi2Na|     Chi2RNa|q_Chi2Na|   dSNRPlx|Mult|Uq|Name           |SubClass  |Filename
20170428-HD170005N390602B01-02-188  |252.987658  37.990537|15.31|63.080002|103.769997|127.669998|88.129997|-61.6014|5.08148|5489.37|24.0877|1.0|0.941207|4.33345|0.0515088|1.0|0.896568|1.16136|0.12941|1.0|0.48788|-0.29369|0.03905|1.0|0.948709|0.20662|0.0155|0.0646|0.0263|1.0|0.845132|-0.10105|0.06304|1.0|0.768312|0.26657|0.09335|1.0|0.618529|  -0.07368|0.08148|1.0|0.677663|   0.28892|0.02471|1.0|0.758157|   0.28332|0.05142|1.0|0.689344|0.08554|0.0505|1.0|0.769253|0.169|0.02914|1.0|0.91639|   0.16137|0.03242|1.0|0.71641|  -0.06773|0.0399|1.0|0.766528|  -0.14591|0.04862|1.0|0.86018|-0.14813|0.05932|1.0|0.763005|0.10752|0.0301|1.0|0.816852|   0.14797|0.25805|1.0|0.585136|  -0.86578|0.28217|1.0|0.427022|0.48611|-0.56259|good|0.375415|-0.832987|good|-0.25834|YES|1.0|S2525915+375925|G4        |spec-57872-HD170005N390602B01_sp02-188.fits.gz
20170429-HD171145N075341V01-06-203  |259.875085   6.951829|1.82|37.43|88.269997|116.849998|91.330002|-35.0098|4.26005|4841.03|27.7544|1.0|0.933455|3.61341|0.0572066|1.0|0.834128|0.9031|0.05329|1.0|0.501004|0.34067|0.02668|1.0|0.89777|0.02659|0.01629|-0.18786|0.02106|1.0|0.844608|0.25469|0.04794|1.0|0.822134|-0.17853|0.06099|1.0|0.853584|   0.20259|0.06003|1.0|0.71735|   0.05923|0.02913|1.0|0.749455|  -0.02885|0.08631|1.0|0.667412|0.21745|0.04517|1.0|0.727239|-0.05184|0.02671|1.0|0.870713|  -0.00492|0.03778|1.0|0.648464|   0.00602|0.03608|1.0|0.778988|   0.07854|0.05446|1.0|0.907247|-0.00231|0.04911|1.0|0.780363|0.1309|0.02964|1.0|0.700616|   0.45446|0.27382|1.0|0.510126|  -0.31890|0.2126|1.0|0.573597|0.600883|0.974054|good|1.10473|0.0124574|good|-1.69777|YES|1.0|S2595230+065706|G5        |spec-57873-HD171145N075341V01_sp06-203.fits.gz
20170430-HD142214N292211B01-14-198  |213.281566  29.420874|4.64|49.560001|79.010002|106.290001|81.050003|6.10977|4.6288|5106.03|27.5752|1.0|0.961106|4.53599|0.0523388|1.0|0.915896|1.38614|0.12199|1.0|0.704433|-0.13665|0.03725|1.0|0.968734|0.07342|0.01552|-0.16297|0.02164|1.0|0.926649|0.0082|0.06807|1.0|0.899168|0.0288|0.07774|1.0|0.875178|  -0.12826|0.07031|1.0|0.694539|   0.13455|0.02395|1.0|0.876347|   0.03136|0.06784|1.0|0.744513|-0.06671|0.05956|1.0|0.795101|0.07514|0.02644|1.0|0.940844|  -0.02659|0.03793|1.0|0.794786|   0.02338|0.03278|1.0|0.876144|   0.06124|0.04421|1.0|0.948382|-0.09406|0.06065|1.0|0.830715|0.00305|0.02996|1.0|0.859218|  -0.06829|0.28705|1.0|0.645549|  -0.69126|0.30813|1.0|0.530172|0.476216|-0.718038|good|0.752335|-0.491382|good|1.09386|YES|1.0|S2131653+292515|G9        |spec-57874-HD142214N292211B01_sp14-198.fits.gz
20170505-HD113736N444258V02-07-031  |175.004952  42.937216|4.91|77.769997|186.380005|160.410004|151.009995|-148.079|3.84034|4162.69|16.746|1.0|0.872268|1.16256|0.0436781|1.0|0.651908|2.02201|0.05826|1.0|0.679401|-0.82904|0.03071|1.0|0.932954|0.1402|0.01184|-0.13595|0.01524|1.0|0.797033|0.13772|0.03768|1.0|0.763974|0.43099|0.04662|1.0|0.709999|       ---|999.0|0.0|0.42131|       ---|999.0|0.0|0.533562|   0.12463|0.05519|1.0|0.566577|0.09709|0.03587|1.0|0.636027|0.10293|0.02022|1.0|0.860748|   0.15841|0.02235|1.0|0.555561|  -0.14634|0.02455|1.0|0.666135|  -0.66129|0.05529|1.0|0.581854|-0.02163|0.02892|1.0|0.673648|-0.02225|0.01908|1.0|0.631338|       ---|999.0|0.0|0.274143|   0.69985|0.08163|1.0|0.632381|1.25135|1.8857|good|15.085|4.27299|good|0.0|YES|1.0|S1750017+425613|G5        |spec-57879-HD113736N444258V02_sp07-031.fits.gz
20170506-HD134348N172427V02-11-086  |205.724564  18.957363|5.75|45.310001|67.970001|45.080002|45.830002|-17.1811|4.50888|4924.15|37.6737|1.0|0.913127|3.17747|0.0915008|1.0|0.902578|1.09637|0.11118|1.0|0.550323|-0.35824|0.03729|1.0|0.912862|0.23309|0.02243|-0.01298|0.03128|1.0|0.851366|-0.0573|0.06666|1.0|0.835984|0.16211|0.0946|1.0|0.725562|   0.02628|0.10068|1.0|0.50328|   0.36417|0.04024|1.0|0.636964|       ---|999.0|0.0|0.533735|0.15037|0.07136|1.0|0.617326|0.12478|0.03818|1.0|0.909225|   0.25282|0.0453|1.0|0.605859|   0.01829|0.05185|1.0|0.658743|  -0.09500|0.07891|1.0|0.804323|0.1591|0.06945|1.0|0.685404|0.06203|0.03679|1.0|0.693159|  -0.67054|0.31474|1.0|0.302329|  -0.60217|0.30489|1.0|0.378377|0.403869|0.628102|good|0.469513|-0.66807|good|0.0|YES|1.0|S2054328+185726|G5        |spec-57880-HD134348N172427V02_sp11-086.fits.gz
20170507-HD173051N010710V01-03-115  |261.463887   1.573662|6.22|75.690002|141.940002|217.509995|186.5|-41.95|3.66946|4512.46|20.1026|1.0|0.912431|2.26117|0.0547639|1.0|0.838302|1.36597|0.04445|1.0|0.695753|-0.35612|0.02234|1.0|0.952262|0.20505|0.01159|-0.06245|0.0159|1.0|0.876509|0.05649|0.03123|1.0|0.878134|0.12957|0.04511|1.0|0.823314|  -0.01841|0.05649|1.0|0.491392|   0.32288|0.02441|1.0|0.537795|   0.39835|0.05246|1.0|0.559248|0.26887|0.03582|1.0|0.582863|0.10895|0.01738|1.0|0.89198|   0.24713|0.02443|1.0|0.574286|  -0.05526|0.03054|1.0|0.663014|  -0.29903|0.04999|1.0|0.767781|0.02789|0.03412|1.0|0.678007|0.09651|0.01897|1.0|0.674086|       ---|999.0|0.0|0.274467|  -0.19351|0.12279|1.0|0.510819|0.713162|0.945718|good|0.882524|-0.65421|good|0.0|YES|1.0|S2612749+013425|G5        |spec-57881-HD173051N010710V01_sp03-115.fits.gz
20170508-HD175009N095053V01-08-079  |268.802372   9.594837|10.48|83.419998|163.179993|233.610001|195.509995|19.3396|3.81036|5037.85|25.2714|1.0|0.936355|3.28266|0.0586552|1.0|0.925658|1.12871|0.07528|1.0|0.659489|-0.24949|0.02278|1.0|0.932485|0.0523|0.01463|-0.15574|0.02045|1.0|0.835319|0.27007|0.0475|1.0|0.886122|0.07496|0.06974|1.0|0.751975|   0.23081|0.0545|1.0|0.76047|   0.08347|0.0293|1.0|0.730803|   0.19511|0.06525|1.0|0.594188|-0.02762|0.04456|1.0|0.768765|0.07959|0.02326|1.0|0.93154|   0.01212|0.02941|1.0|0.736695|  -0.01383|0.03899|1.0|0.779666|   0.02861|0.04529|1.0|0.907562|-0.02093|0.04172|1.0|0.825009|0.05251|0.02197|1.0|0.757296|   0.28497|0.1933|1.0|0.592446|   0.09597|0.12608|1.0|0.74128|0.81432|0.952909|good|5.01332|0.710394|good|   0.00000|YES|1.0|S2684808+093541|G8        |spec-57882-HD175009N095053V01_sp08-079.fits.gz
20170513-HD153145N202238B01-15-088  |231.969097  21.499898|5.59|38.599998|72.989998|30.290001|29.99|-35.0487|3.92129|5098.83|28.525|1.0|0.963449|4.5406|0.0557222|1.0|0.917426|1.34963|0.15102|1.0|0.742897|-0.0557|0.0409|1.0|0.97415|0.057|0.01745|-0.13574|0.02412|1.0|0.915302|0.03451|0.074|1.0|0.898594|0.15132|0.07926|1.0|0.861016|  -0.15366|0.06596|1.0|0.705718|   0.11478|0.02747|1.0|0.89645|   0.03788|0.07402|1.0|0.766382|-0.15104|0.06724|1.0|0.81226|0.05316|0.02832|1.0|0.939569|   0.00471|0.04508|1.0|0.82631|  -0.02260|0.03582|1.0|0.900544|   0.04526|0.04969|1.0|0.958766|-0.12411|0.06859|1.0|0.852319|0.02843|0.03762|1.0|0.871075|  -0.20673|0.33197|1.0|0.635538|  -0.57888|0.34271|1.0|0.624708|0.345947|-1.00778|good|0.545369|-0.623701|good|  -0.17702|YES|1.0|S2315808+212959|K0        |spec-57887-HD153145N202238B01_sp15-088.fits.gz
20170514-HD163300N063640B02-06-189  |250.224022   5.938269|17.83|115.610001|184.919998|212.770004|150.509995|-33.6787|3.84034|5362.69|20.3343|1.0|0.933843|4.50962|0.0381458|1.0|0.907318|1.15408|0.07363|1.0|0.63861|0.03208|0.02772|1.0|0.932842|0.0246|0.01082|-0.16898|0.01617|1.0|0.897945|0.15637|0.04178|1.0|0.911929|-0.0449|0.05881|1.0|0.821367|   0.03411|0.04051|1.0|0.887094|   0.08905|0.0161|1.0|0.896552|  -0.03471|0.04312|1.0|0.8588|-0.13027|0.03595|1.0|0.885885|0.03348|0.02049|1.0|0.933585|  -0.07386|0.02562|1.0|0.861255|  -0.07141|0.02403|1.0|0.919137|   0.06149|0.02802|1.0|0.961338|-0.11167|0.0347|1.0|0.889617|0.05369|0.01834|1.0|0.86032|   0.16051|0.17502|1.0|0.744359|  -0.14366|0.12357|1.0|0.866118|1.23892|0.273884|good|13.2589|4.05932|good|   1.22137|YES|1.0|S2501326+055617|G7        |spec-57888-HD163300N063640B02_sp06-189.fits.gz
20170516-HD163300N063640V01-01-177  |248.679689   4.505729|5.45|42.610001|84.099998|99.360001|78.800003|-33.5198|4.14013|5095.6|26.8459|1.0|0.961391|4.61164|0.0511428|1.0|0.912946|1.68711|0.13516|1.0|0.732939|-0.06754|0.03563|1.0|0.971463|-0.01392|0.01583|-0.17293|0.02211|1.0|0.88023|0.15158|0.07336|1.0|0.886649|0.17803|0.08364|1.0|0.825775|  -0.18035|0.06851|1.0|0.771843|   0.03953|0.02751|1.0|0.869568|   0.02891|0.06509|1.0|0.726165|-0.11099|0.05924|1.0|0.797768|0.01632|0.02405|1.0|0.933559|  -0.15899|0.03902|1.0|0.775844|  -0.11092|0.03313|1.0|0.881494|  -0.06068|0.04821|1.0|0.954108|-0.23299|0.06055|1.0|0.821606|-0.01889|0.03007|1.0|0.868147|  -0.17871|0.26986|1.0|0.532124|   0.11263|0.2007|1.0|0.772359|0.766601|0.772453|good|0.359096|-0.977491|good|   0.02255|YES|1.0|S2484046+043020|G8        |spec-57890-HD163300N063640V01_sp01-177.fits.gz
